 => 1, a, north
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 1, a, north
robot_A => 1, b, north
robot_A => 1, b, east
robot_A => 2, b, east
robot_A => 2, b, north
robot_A => 2, c, north
robot_A => 2, c, west
robot_A => 1, c, west
robot_A => 1, c, west
robot_A => 1, c, north
robot_B => 6, f, south
robot_B => 6, e, south
robot_B => 6, d, south
robot_B => 6, c, south
robot_B => 6, c, south
robot_B => 6, c, west
robot_B => 5, c, west
robot_B => 4, c, west
robot_B => 3, c, west
robot_B => 2, c, west
robot_B => 2, c, south
robot_B => 2, b, south
robot_B => 2, b, south
robot_B => 2, b, east
robot_B => 3, b, east
robot_B => 3, b, east
robot_B => 3, b, south
robot_B => 3, b, west
robot_B => 2, b, west
robot_B => 2, b, north
robot_B => 2, c, north
robot_B => 2, d, north
robot_B => 2, d, west
robot_B => 1, d, west
robot_B => 6, f, south
robot_B => 6, e, south
robot_B => 6, d, south
robot_A => 1, a, north
robot_A => 1, b, north
robot_A => 1, b, east
robot_A => 2, b, east
robot_A => 2, b, north
robot_A => 2, c, north
robot_A => 2, c, west
robot_A => 1, c, west
robot_A => 1, c, west
robot_A => 1, c, north
robot_B => 6, c, south
robot_B => 6, c, south
robot_B => 6, c, west
robot_B => 5, c, west
robot_B => 4, c, west
robot_B => 3, c, west
robot_B => 2, c, west
robot_B => 2, c, south
robot_A => 1, d, north
robot_A => 1, d, north
robot_A => 1, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
